ID парковки,Координаты,Адресный ориентир,Кол-во дуг,Решение по инспекции,,Категория,Показывать
1,"55.682014, 37.621315","Варшавское шоссе, 30с3",1,Монтаж старой точки,,Монтаж старой точки,TRUE
2,"55.686834, 37.595235","Большая Черёмушкинская улица, 13с4",1,Уточнение не требуется,,Уточнение не требуется,TRUE
3,"55.682486, 37.589405","Остановка НГПТ ""Улица Дмитрия Ульянова""",1,Уточнение не требуется,,Демонтаж-монтаж,TRUE
4,"55.675658, 37.613112","Электролитный проезд, 3Бс6",1,Монтаж старой точки,,Покраска,TRUE
7,"55.805737, 37.519432","Ленинградский проспект, 72к1",1,Уточнение не требуется,,Замена на алюминиевую дугу,TRUE
11,"55.69326, 37.55818","улица Дмитрия Ульянова, 4к1",1,Уточнение не требуется,,Демонтаж-монтаж + Покраска,TRUE
12,"55.693353, 37.574726","проспект 60-летия Октября, 10",1,Уточнение не требуется,,Забрать дуги срочно,TRUE
13,"55.697429, 37.560208",Ленинский проспект 54,1,Уточнение не требуется,,Временный демонтаж,TRUE
14,"55.697628, 37.562672",ленинский проспект,1,Уточнение не требуется,,ПРИОРИТЕТ МОНТАЖ,TRUE
22,"55.788313, 37.743155",Станция МЦК Измайлово (вых. 2),1,Монтаж старой точки,,,
23,"55.696051, 37.626073","Новоданиловская набережная, 10",2,Уточнение не требуется,,,
24,"55.680970, 37.629463","Нагатинская улица, 4к1",1,Монтаж старой точки,,,
27,"55.678499, 37.603447","Нагорная улица, 21к1",1,Замена на алюминиевую дугу,,,
32,"55.690081, 37.619895","Нагорный проезд, 2Б",1,Замена на алюминиевую дугу,,,
33,"55.693935, 37.621634","Варшавское шоссе, 25А",1,Уточнение не требуется,,,
35,"55.682014, 37.621315","Варшавское шоссе, 30с3",1,Монтаж старой точки,,,
37,"55.834508, 37.494474","Выборгская улица, 16с1",1,Монтаж старой точки,,,
40,"55.6916567, 37.5381951","Ломоносовский проспект, 23",1,Уточнение не требуется,,,
42,"55.703559, 37.591244","улица Вавилова, 5к3",1,Уточнение не требуется,,,
49,"55.793329, 37.811402","Первомайская улица, 100",1,Уточнение не требуется,,,
52,"55.809004, 37.506538","Ленинградский проспект, 80к4А",1,Уточнение не требуется,,,
54,"55.659952, 37.515709","улица Обручева, 11",1,Уточнение не требуется,,,
55,"55.661630, 37.555645","улица Намёткина, 14к1",1,Уточнение не требуется,,,
56,"55.701463, 37.578044","улица Вавилова, 24",1,Уточнение не требуется,,,
58,"55.818137, 37.522124","Большая Академическая улица, 5с1",1,Монтаж старой точки,,,
67,"55.681412, 37.588656",большая черёмушкинская улица,1,Монтаж старой точки,,,
69,"55.716860, 37.613479","улица Шухова, 14",1,Монтаж старой точки,,,
72,"55.812272, 37.640151","проспект Мира, 122к1",1,Монтаж старой точки,,,
75,"55.706492, 37.685181",Станция метро Кожуховская (вых. 1),1,Монтаж старой точки,,,
79,"55.794040, 37.638075","проспект Мира, 88с4",1,Монтаж старой точки,,,
82,"55.818904, 37.638009","проспект Мира, 109",1,Замена на алюминиевую дугу,,,
83,"55.821731, 37.625837","улица Академика Королёва, 4Б",1,Монтаж старой точки,,,
84,"55.807340, 37.521258","улица Усиевича, 18",1,Монтаж старой точки,,,
86,"55.776181, 37.554115","Беговая улица, 3с1",1,Уточнение не требуется,,,
89,"55.741454, 37.522902","Кутузовский проезд, 10",1,Монтаж старой точки,,,
91,"55.818963, 37.620221","улица Академика Королёва, 13",1,Монтаж старой точки,,,
99,"55.6820468,37.5167332","проспект Вернадского, 29",1,Уточнение не требуется,,,
101,"55.815543, 37.515445","улица Космонавта Волкова, 10",1,Уточнение не требуется,,,
104,"55.815899, 37.518945","улица Космонавта Волкова, 12",1,Уточнение не требуется,,,
105,"55.844515, 37.573955","Локомотивный проезд, 19",1,Монтаж старой точки,,,
106,"55.844345, 37.577799","Гостиничный проезд, 6А",1,Уточнение не требуется,,,
110,"55.79359, 37.800693","Первомайская улица, 77",1,Уточнение не требуется,,,
112,"55.809531, 37.612411","17-й проезд Марьиной Рощи, 4к1",1,Уточнение не требуется,,,
119,"55.687259, 37.545067","Ленинский проспект, 75/9",1,Уточнение не требуется,,,
120,"55.747438, 37.774981","Перовская улица, 31",1,Уточнение не требуется,,,
123,"55.747961, 37.704370","шоссе Энтузиастов, 12к2",1,Уточнение не требуется,,,
124,"55.6873192,37.6038267","Севастопольский проспект, 11Е",1,Монтаж старой точки,,,
125,"55.797645, 37.518588","Чапаевский переулок, 12",1,Монтаж старой точки,,,
127,"55.787122, 37.560607","Ленинградский проспект, 33к3",1,Монтаж старой точки,,,
128,"55.800315, 37.505501","улица Алабяна, 13к1",1,Уточнение не требуется,,,
130,"55.738069, 37.505618","улица Василисы Кожиной, 1к1",1,Монтаж старой точки,,,
